pct_ingreso;edad;estado_credito_N;antiguedad_empleado;importe_solicitado;duracion_credito;situacion_vivienda;ingresos;objetivo_credito;tasa_interes;estado_credito;falta_pago
hasta_20;25_a_30;C;5_a_10;35000;2;HIPOTECA;213000;EDUCACIÓN;10.65;1;N
hasta_20;menor_25;P;menor_5;6000;4;ALQUILER;225000;SALUD;;0;N
20_a_40;menor_25;C;menor_5;4500;4;HIPOTECA;12960;PAGO_DEUDAS;11.83;1;N
hasta_20;menor_25;C;menor_5;2400;2;PROPIA;12996;PAGO_DEUDAS;13.49;1;Y
40_a_60;menor_25;C;5_a_10;25000;2;ALQUILER;42000;SALUD;14.59;1;Y
40_a_60;25_a_30;C;menor_5;25000;4;ALQUILER;48000;EDUCACIÓN;9.64;1;N
20_a_40;25_a_30;C;menor_5;3600;3;PROPIA;12996;SALUD;14.59;1;N
20_a_40;menor_25;C;menor_5;4750;3;PROPIA;12996;EDUCACIÓN;;1;N
40_a_60;25_a_30;C;menor_5;25000;3;ALQUILER;42360;EDUCACIÓN;16.35;1;Y
40_a_60;menor_25;C;5_a_10;25000;2;ALQUILER;49000;EDUCACIÓN;10.99;1;N
hasta_20;25_a_30;P;menor_5;25000;2;HIPOTECA;225000;INVERSIONES;18.67;0;N
hasta_20;25_a_30;P;menor_5;3000;4;ALQUILER;225000;EDUCACIÓN;9.32;0;N
hasta_20;menor_25;P;5_a_10;7500;2;ALQUILER;225000;PAGO_DEUDAS;8.63;0;N
hasta_20;25_a_30;P;menor_5;25000;2;HIPOTECA;225000;INVERSIONES;10.08;0;N
40_a_60;menor_25;C;5_a_10;25000;3;ALQUILER;49464;PERSONAL;11.83;1;N
40_a_60;menor_25;C;menor_5;25000;3;ALQUILER;50000;PAGO_DEUDAS;7.9;1;N
40_a_60;25_a_30;C;5_a_10;25000;2;ALQUILER;50000;MEJORAS_HOGAR;5.99;1;N
40_a_60;menor_25;C;menor_5;25000;2;ALQUILER;44000;PAGO_DEUDAS;15.33;1;N
40_a_60;menor_25;C;menor_5;25000;4;ALQUILER;50000;INVERSIONES;11.83;1;N
40_a_60;menor_25;C;menor_5;25000;2;ALQUILER;50004;INVERSIONES;10.36;1;N
40_a_60;menor_25;C;menor_5;25000;3;ALQUILER;50004;INVERSIONES;12.23;1;N
40_a_60;menor_25;C;menor_5;25000;4;ALQUILER;52000;EDUCACIÓN;11.11;1;N
20_a_40;menor_25;C;menor_5;4950;4;PROPIA;13200;PAGO_DEUDAS;7.9;1;N
hasta_20;menor_25;P;menor_5;25000;2;HIPOTECA;220000;EDUCACIÓN;11.58;0;N
hasta_20;menor_25;P;5_a_10;21000;3;HIPOTECA;216000;PAGO_DEUDAS;8.9;0;N
hasta_20;25_a_30;P;menor_5;25000;3;HIPOTECA;216000;EDUCACIÓN;16.07;0;N
hasta_20;25_a_30;P;mayor_10;20000;2;HIPOTECA;216000;EDUCACIÓN;14.22;0;Y
hasta_20;menor_25;P;5_a_10;35000;3;HIPOTECA;215000;SALUD;14.79;0;Y
hasta_20;25_a_30;P;mayor_10;12000;2;HIPOTECA;215000;EDUCACIÓN;7.88;0;N
40_a_60;menor_25;C;menor_5;25000;2;ALQUILER;52000;PERSONAL;13.22;1;N
40_a_60;25_a_30;C;menor_5;25000;4;ALQUILER;46000;PAGO_DEUDAS;11.86;1;N
40_a_60;menor_25;C;5_a_10;25000;4;ALQUILER;53000;EDUCACIÓN;13.43;1;Y
40_a_60;25_a_30;C;menor_5;25000;2;ALQUILER;47000;MEJORAS_HOGAR;15.28;1;Y
40_a_60;menor_25;C;menor_5;25000;2;ALQUILER;47000;INVERSIONES;17.93;1;N
hasta_20;menor_25;P;menor_5;1400;4;HIPOTECA;13200;EDUCACIÓN;9.25;0;N
20_a_40;menor_25;C;menor_5;4500;4;PROPIA;13200;INVERSIONES;12.98;1;N
hasta_20;menor_25;P;5_a_10;16000;4;HIPOTECA;210000;INVERSIONES;10.62;0;N
hasta_20;25_a_30;P;mayor_10;22000;4;PROPIA;210000;PERSONAL;11.83;0;N
40_a_60;25_a_30;C;5_a_10;25000;2;ALQUILER;48000;INVERSIONES;18.43;1;N
40_a_60;menor_25;C;5_a_10;25000;4;ALQUILER;54996;EDUCACIÓN;;1;N
40_a_60;menor_25;C;5_a_10;25000;4;ALQUILER;55000;MEJORAS_HOGAR;;1;Y
40_a_60;menor_25;C;5_a_10;25000;3;ALQUILER;55000;EDUCACIÓN;11.36;1;N
40_a_60;menor_25;C;5_a_10;25000;3;ALQUILER;55000;EDUCACIÓN;15.65;1;Y
40_a_60;menor_25;C;5_a_10;25000;4;ALQUILER;55164;PERSONAL;13.22;1;Y
40_a_60;25_a_30;C;5_a_10;25000;2;ALQUILER;56000;PAGO_DEUDAS;12.87;1;N
hasta_20;menor_25;P;5_a_10;20000;3;PROPIA;203500;SALUD;13.04;0;N
hasta_20;menor_25;C;5_a_10;22000;3;HIPOTECA;190000;EDUCACIÓN;17.58;1;Y
40_a_60;menor_25;C;menor_5;7750;4;PROPIA;13920;PERSONAL;17.04;1;N
40_a_60;menor_25;C;menor_5;25000;3;ALQUILER;60000;PERSONAL;10.99;1;N
40_a_60;menor_25;C;menor_5;25000;3;ALQUILER;60000;PERSONAL;11.11;1;N
40_a_60;25_a_30;C;5_a_10;25000;2;ALQUILER;54000;PAGO_DEUDAS;14.83;1;Y
20_a_40;menor_25;C;menor_5;4000;3;PROPIA;14000;PAGO_DEUDAS;;1;N
hasta_20;menor_25;P;5_a_10;12000;2;ALQUILER;200000;SALUD;12.69;0;N
hasta_20;menor_25;P;5_a_10;12000;2;HIPOTECA;200000;MEJORAS_HOGAR;13.49;0;N
hasta_20;menor_25;P;5_a_10;16000;4;HIPOTECA;200000;EDUCACIÓN;14.65;0;N
40_a_60;25_a_30;C;menor_5;25000;4;ALQUILER;54000;MEJORAS_HOGAR;16.82;1;N
40_a_60;menor_25;C;menor_5;25000;3;ALQUILER;60000;PERSONAL;12.73;1;N
40_a_60;menor_25;C;5_a_10;25000;4;ALQUILER;60000;PERSONAL;10.25;1;N
40_a_60;menor_25;C;5_a_10;25000;4;ALQUILER;60000;EDUCACIÓN;10.99;1;N
40_a_60;25_a_30;C;5_a_10;25000;2;ALQUILER;61959;SALUD;12.73;1;N
40_a_60;menor_25;C;menor_5;25000;3;ALQUILER;56400;MEJORAS_HOGAR;14.96;1;Y
hasta_20;menor_25;P;5_a_10;28000;2;HIPOTECA;200000;EDUCACIÓN;;0;N
hasta_20;menor_25;P;menor_5;25000;2;HIPOTECA;200000;PAGO_DEUDAS;13.99;0;N
hasta_20;menor_25;P;menor_5;24000;4;HIPOTECA;200000;INVERSIONES;7.49;0;N
hasta_20;25_a_30;P;5_a_10;15000;3;HIPOTECA;200000;EDUCACIÓN;14.79;0;N
hasta_20;25_a_30;P;menor_5;15500;2;HIPOTECA;200000;PAGO_DEUDAS;11.99;0;N
hasta_20;menor_25;P;5_a_10;10000;4;ALQUILER;200000;EDUCACIÓN;8.49;0;N
20_a_40;menor_25;C;menor_5;25000;2;ALQUILER;66000;EDUCACIÓN;9.91;1;N
20_a_40;menor_25;C;5_a_10;25000;3;ALQUILER;66000;EDUCACIÓN;13.06;1;Y
hasta_20;menor_25;P;5_a_10;9000;4;HIPOTECA;200000;PAGO_DEUDAS;6.17;0;N
hasta_20;25_a_30;P;5_a_10;18000;3;ALQUILER;200000;EDUCACIÓN;16.32;0;N
hasta_20;25_a_30;P;menor_5;12000;2;HIPOTECA;200000;INVERSIONES;10.38;0;N
hasta_20;25_a_30;P;5_a_10;23050;3;HIPOTECA;200000;PERSONAL;14.35;0;N
hasta_20;menor_25;P;5_a_10;20000;3;HIPOTECA;200000;PAGO_DEUDAS;;0;N
40_a_60;menor_25;C;menor_5;25000;2;ALQUILER;60000;PAGO_DEUDAS;;1;Y
20_a_40;menor_25;C;menor_5;3000;4;PROPIA;14400;MEJORAS_HOGAR;;1;N
20_a_40;25_a_30;C;mayor_10;25000;2;ALQUILER;66996;PERSONAL;15.21;1;Y
20_a_40;menor_25;C;menor_5;25000;4;ALQUILER;67000;EDUCACIÓN;7.9;1;N
20_a_40;menor_25;C;menor_5;25000;3;ALQUILER;67000;INVERSIONES;10.99;1;N
20_a_40;menor_25;C;5_a_10;25000;3;ALQUILER;68000;PERSONAL;14.09;1;Y
20_a_40;25_a_30;C;5_a_10;25000;2;ALQUILER;69000;PERSONAL;17.49;1;N
hasta_20;25_a_30;P;menor_5;12000;3;HIPOTECA;200000;EDUCACIÓN;11.48;0;N
hasta_20;25_a_30;C;mayor_10;20000;2;HIPOTECA;188000;INVERSIONES;17.74;1;N
hasta_20;25_a_30;P;5_a_10;3000;3;HIPOTECA;200000;PERSONAL;13.92;0;N
20_a_40;25_a_30;C;5_a_10;25000;3;ALQUILER;69996;EDUCACIÓN;15.21;1;N
20_a_40;menor_25;C;menor_5;4000;3;PROPIA;14400;SALUD;10.99;1;N
20_a_40;menor_25;C;menor_5;25000;4;ALQUILER;70000;EDUCACIÓN;11.86;1;N
40_a_60;menor_25;C;5_a_10;6000;3;PROPIA;14400;PERSONAL;7.49;1;N
20_a_40;menor_25;C;5_a_10;25000;4;ALQUILER;56100;SALUD;16.49;1;N
20_a_40;25_a_30;C;5_a_10;25000;2;ALQUILER;66000;INVERSIONES;15.33;1;Y
20_a_40;25_a_30;C;menor_5;25000;4;ALQUILER;66000;MEJORAS_HOGAR;11.58;1;N
20_a_40;25_a_30;C;5_a_10;5375;2;PROPIA;14400;EDUCACIÓN;5.79;1;N
20_a_40;25_a_30;C;5_a_10;25000;2;ALQUILER;72612;SALUD;13.11;1;N
20_a_40;menor_25;C;menor_5;25000;3;ALQUILER;74000;SALUD;10.36;1;N
20_a_40;25_a_30;C;5_a_10;25000;2;ALQUILER;75000;PAGO_DEUDAS;10.36;1;N
hasta_20;menor_25;P;menor_5;22000;2;ALQUILER;192000;SALUD;;0;Y
hasta_20;menor_25;P;NA;20000;4;HIPOTECA;192000;INVERSIONES;6.54;0;N
hasta_20;25_a_30;P;menor_5;10000;4;HIPOTECA;191000;SALUD;12.53;0;N
hasta_20;25_a_30;P;5_a_10;15000;3;HIPOTECA;190300;PERSONAL;;0;N
hasta_20;menor_25;P;menor_5;10000;3;HIPOTECA;190000;INVERSIONES;;0;N
20_a_40;menor_25;C;5_a_10;25000;4;ALQUILER;75000;EDUCACIÓN;10.25;1;N
20_a_40;menor_25;C;menor_5;25000;4;ALQUILER;71000;EDUCACIÓN;15.95;1;Y
hasta_20;25_a_30;P;menor_5;20000;4;HIPOTECA;190000;INVERSIONES;12.18;0;N
hasta_20;menor_25;P;menor_5;24000;3;PROPIA;189996;PERSONAL;11.83;0;N
20_a_40;menor_25;C;5_a_10;25000;2;ALQUILER;78000;PAGO_DEUDAS;;1;Y
20_a_40;menor_25;C;menor_5;25000;3;ALQUILER;78000;INVERSIONES;10.62;1;N
20_a_40;menor_25;C;5_a_10;25000;3;ALQUILER;78504;INVERSIONES;10.74;1;N
hasta_20;25_a_30;P;5_a_10;10000;4;PROPIA;186000;INVERSIONES;10.25;0;N
hasta_20;menor_25;P;NA;35000;2;HIPOTECA;185000;EDUCACIÓN;12.42;0;N
hasta_20;25_a_30;P;5_a_10;15000;2;ALQUILER;185000;INVERSIONES;15.27;0;N
20_a_40;menor_25;C;5_a_10;25000;2;ALQUILER;62050;SALUD;15.33;1;Y
20_a_40;menor_25;C;5_a_10;25000;2;ALQUILER;79416;INVERSIONES;15.21;1;Y
40_a_60;menor_25;C;5_a_10;6250;2;PROPIA;14400;INVERSIONES;14.72;1;N
20_a_40;menor_25;C;5_a_10;25000;2;ALQUILER;79631;PERSONAL;15.7;1;Y
20_a_40;menor_25;C;menor_5;25000;4;ALQUILER;79632;EDUCACIÓN;13.35;1;N
hasta_20;menor_25;P;menor_5;1500;4;HIPOTECA;14400;SALUD;;0;N
20_a_40;menor_25;C;5_a_10;25000;2;ALQUILER;80000;EDUCACIÓN;6.62;1;N
20_a_40;25_a_30;C;5_a_10;25000;4;ALQUILER;80000;PAGO_DEUDAS;13.61;1;N
hasta_20;menor_25;P;5_a_10;25000;2;ALQUILER;185000;SALUD;11.36;0;N
hasta_20;25_a_30;P;mayor_10;5000;2;PROPIA;185000;PERSONAL;7.68;0;N
hasta_20;menor_25;P;5_a_10;22000;4;ALQUILER;184992;MEJORAS_HOGAR;14.46;0;Y
hasta_20;menor_25;P;5_a_10;2500;2;PROPIA;184000;EDUCACIÓN;11.83;0;N
hasta_20;menor_25;C;5_a_10;20000;4;HIPOTECA;172000;PAGO_DEUDAS;13.47;1;Y
hasta_20;menor_25;P;menor_5;20000;3;HIPOTECA;183000;SALUD;11.49;0;N
hasta_20;menor_25;P;menor_5;1000;2;HIPOTECA;183000;EDUCACIÓN;;0;N
hasta_20;25_a_30;P;5_a_10;15000;3;HIPOTECA;182952;PERSONAL;6.03;0;N
20_a_40;menor_25;C;5_a_10;25000;4;ALQUILER;74004;PAGO_DEUDAS;16.35;1;N
20_a_40;25_a_30;C;mayor_10;25000;4;ALQUILER;74004;PAGO_DEUDAS;;1;Y
20_a_40;25_a_30;C;5_a_10;25000;3;ALQUILER;81000;PAGO_DEUDAS;7.29;1;N
20_a_40;menor_25;C;menor_5;25000;3;ALQUILER;81600;SALUD;11.36;1;N
20_a_40;menor_25;P;5_a_10;25000;2;ALQUILER;82000;INVERSIONES;10.25;0;N
20_a_40;menor_25;P;5_a_10;25000;3;ALQUILER;83000;EDUCACIÓN;11.12;0;N
20_a_40;menor_25;P;5_a_10;25000;3;ALQUILER;83000;PERSONAL;12.92;0;Y
hasta_20;menor_25;P;5_a_10;18000;4;ALQUILER;180000;EDUCACIÓN;18.64;0;Y
hasta_20;menor_25;P;5_a_10;28000;3;HIPOTECA;180000;PERSONAL;7.51;0;N
20_a_40;menor_25;C;menor_5;4000;2;PROPIA;14400;MEJORAS_HOGAR;16.7;1;N
hasta_20;menor_25;P;menor_5;2100;4;PROPIA;14400;PERSONAL;11.14;0;N
20_a_40;menor_25;P;5_a_10;25000;4;ALQUILER;84500;PERSONAL;18.3;0;N
20_a_40;menor_25;P;5_a_10;25000;4;ALQUILER;85000;SALUD;10.62;0;N
hasta_20;menor_25;P;5_a_10;14000;2;HIPOTECA;180000;INVERSIONES;11.99;0;N
hasta_20;25_a_30;P;menor_5;12000;4;HIPOTECA;180000;INVERSIONES;9.63;0;N
hasta_20;25_a_30;C;5_a_10;10000;4;HIPOTECA;142800;SALUD;18.25;1;N
40_a_60;menor_25;C;menor_5;6000;4;HIPOTECA;14664;PAGO_DEUDAS;;1;N
20_a_40;menor_25;P;5_a_10;25000;3;ALQUILER;87000;MEJORAS_HOGAR;14.84;0;N
20_a_40;menor_25;C;menor_5;25000;3;ALQUILER;75000;INVERSIONES;14.7;1;Y
20_a_40;menor_25;C;5_a_10;25000;4;ALQUILER;76000;PAGO_DEUDAS;16.02;1;N
20_a_40;menor_25;C;menor_5;25000;2;ALQUILER;66215;SALUD;15.37;1;Y
20_a_40;25_a_30;P;5_a_10;25000;4;ALQUILER;90000;SALUD;10.99;0;N
40_a_60;menor_25;C;menor_5;6200;2;PROPIA;15000;MEJORAS_HOGAR;7.9;1;N
hasta_20;25_a_30;P;menor_5;25000;4;PROPIA;180000;PERSONAL;10.99;0;N
hasta_20;menor_25;P;5_a_10;21000;3;PROPIA;180000;EDUCACIÓN;11.48;0;N
hasta_20;25_a_30;P;5_a_10;20000;4;PROPIA;180000;SALUD;14.26;0;Y
hasta_20;25_a_30;P;menor_5;10000;4;PROPIA;180000;MEJORAS_HOGAR;8.0;0;N
hasta_20;25_a_30;P;menor_5;9950;2;HIPOTECA;180000;INVERSIONES;11.26;0;N
20_a_40;menor_25;C;5_a_10;4475;4;PROPIA;15000;SALUD;;1;N
20_a_40;menor_25;C;menor_5;25000;3;ALQUILER;78000;INVERSIONES;16.32;1;Y
20_a_40;25_a_30;C;menor_5;25000;4;ALQUILER;66300;SALUD;17.93;1;Y
20_a_40;menor_25;P;menor_5;25000;3;ALQUILER;90000;PAGO_DEUDAS;11.36;0;N
20_a_40;menor_25;C;5_a_10;25000;4;ALQUILER;79000;PAGO_DEUDAS;14.96;1;Y
20_a_40;menor_25;P;5_a_10;25000;3;ALQUILER;91800;PERSONAL;13.43;0;Y
